RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,CountyName,RegionFullName
39577,2809,Malvern,city,AR,AR,"Malvern, AR",Hot Spring County,Malvern.AR
27164,2809,South Elgin,city,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Kane County,South Elgin.IL
33633,2811,Republic,city,MO,MO,"Springfield, MO",Greene County,Republic.MO
6333,2812,Orange City,city,FL,FL,"Deltona-Daytona Beach-Ormond Beach, FL",Volusia County,Orange City.FL
52664,2813,Jacksonville,city,IL,IL,"Jacksonville, IL",Morgan County,Jacksonville.IL
42716,2814,Maryland Heights,city,MO,MO,"St. Louis, MO-IL",Saint Louis County,Maryland Heights.MO
31134,2815,Cudahy,city,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,Cudahy.CA
33825,2816,Saline,city,MI,MI,"Ann Arbor, MI",Washtenaw County,Saline.MI
5838,2817,Massapequa Park,city,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",Nassau County,Massapequa Park.NY
43207,2818,Washougal,city,WA,WA,"Portland-Vancouver-Hillsboro, OR-WA",Skamania County,Washougal.WA
29498,2819,Toccoa,city,GA,GA,"Toccoa, GA",Stephens County,Toccoa.GA
43090,2820,Seaford,city,DE,DE,"Salisbury, MD-DE",Sussex County,Seaford.DE
14889,2821,Cheney,city,WA,WA,"Spokane-Spokane Valley, WA",Spokane County,Cheney.WA
17271,2821,Camp Springs,city,MD,MD,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Prince Georges County,Camp Springs.MD
44124,2823,Belton,city,MO,MO,"Kansas City, MO-KS",Cass County,Belton.MO
11808,2824,Harleysville,city,PA,PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Montgomery County,Harleysville.PA
51431,2825,Clarksburg,city,MD,MD,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Montgomery County,Clarksburg.MD
46821,2826,Norton Shores,city,MI,MI,"Muskegon, MI",Muskegon County,Norton Shores.MI
53198,2826,Maumelle,city,AR,AR,"Little Rock-North Little Rock-Conway, AR",Pulaski County,Maumelle.AR
13385,2828,Prairie Village,city,KS,KS,"Kansas City, MO-KS",Johnson County,Prairie Village.KS
19507,2830,Mount Washington,city,KY,KY,"Louisville/Jefferson County, KY-IN",Bullitt County,Mount Washington.KY
35283,2831,Beaver Dam,city,WI,WI,"Beaver Dam, WI",Dodge County,Beaver Dam.WI
